Date,Open,High,Low,Close,Adj Close,Volume,ema10,ema30,ema40,sma10dv,Close Prie > EMA,10SMA > VW*1.2,Price Diff((H-L)/L),Price Contraction
2002-07-01,31.979999542236328,32.650001525878906,31.100000381469727,32.470001220703125,10.860695838928223,796080.0,,,,,False,False,0.04983926448221894,True
2002-07-08,32.79999923706055,32.959999084472656,31.0,32.29999923706055,10.803829193115234,246655.0,,,,,False,False,0.06322577691847278,True
2002-07-15,32.66999816894531,32.79999923706055,28.799999237060547,29.190000534057617,9.763587951660156,145660.0,,,,,False,False,0.13888889256818804,False
2002-07-22,28.0,28.799999237060547,24.799999237060547,25.170000076293945,10.939607620239258,894740.0,,,,,False,False,0.16129032754253042,False
2002-07-29,25.59000015258789,26.59000015258789,25.0,25.479999542236328,11.0743408203125,282030.0,,,,,False,False,0.06360000610351563,True
2002-08-05,25.799999237060547,25.799999237060547,24.0,24.559999465942383,10.674485206604004,220445.0,,,,,False,False,0.07499996821085612,True
2002-08-12,24.239999771118164,25.0,24.200000762939453,24.920000076293945,10.830949783325195,45775.0,,,,,False,False,0.03305781867105094,True
2002-08-19,25.0,25.0,24.0,24.700000762939453,10.735332489013672,83755.0,,,,,False,False,0.041666666666666664,True
2002-08-26,24.979999542236328,25.0,24.200000762939453,24.260000228881836,10.544095993041992,78445.0,,,,,False,False,0.03305781867105094,True
2002-09-02,24.75,24.760000228881836,23.68000030517578,23.809999465942383,10.348512649536133,114760.0,26.686000061035156,,,26.686000061035156,False,False,0.0456081042984614,True
2002-09-09,23.700000762939453,23.700000762939453,22.8700008392334,22.969999313354492,9.98342227935791,146125.0,26.010363561456852,,,25.735999870300294,False,False,0.03629208103404146,True
2002-09-16,22.799999237060547,22.889999389648438,21.0,21.700000762939453,9.431447982788086,263240.0,25.22666123445369,,,24.676000022888182,False,False,0.08999997093563988,True
2002-09-23,22.0,22.200000762939453,20.799999237060547,22.149999618530273,9.627029418945312,107025.0,24.667268213376705,,,23.97199993133545,False,False,0.06730776813608932,True
2002-09-30,22.0,22.0,20.799999237060547,21.56999969482422,9.374944686889648,58335.0,24.104128482730797,,,23.611999893188475,False,False,0.05769234648823175,True
2002-10-07,21.600000381469727,22.020000457763672,21.219999313354492,21.649999618530273,9.409714698791504,40375.0,23.657923234694337,,,23.228999900817872,False,False,0.037700337902730786,True
2002-10-14,21.899999618530273,21.899999618530273,21.030000686645508,21.15999984741211,9.196746826171875,50965.0,23.20375534609757,,,22.888999938964844,False,False,0.04136942004178028,True
